Type,Measurement,Country,Year,Value
Hospitals,Per million population,Italy,2004,22.47
Hospitals,Per million population,Italy,2005,22.34
Hospitals,Per million population,Italy,2006,22.07
Hospitals,Per million population,Italy,2007,21.75
Hospitals,Per million population,Italy,2008,21.4
Hospitals,Per million population,Italy,2009,21
Hospitals,Per million population,Italy,2010,20.75
Hospitals,Per million population,Italy,2011,19.94
Hospitals,Per million population,Italy,2012,19.42
Hospitals,Per million population,Italy,2013,18.84
Hospitals,Per million population,Italy,2014,18.44
Hospitals,Per million population,Italy,2015,18.36
Hospitals,Per million population,Italy,2016,17.98
Hospitals,Per million population,Italy,2017,17.56
Hospitals,Per million population,Italy,2018,17.53
Hospitals,Per million population,Japan,2000,73
Hospitals,Per million population,Japan,2001,72.58
Hospitals,Per million population,Japan,2002,72.09
Hospitals,Per million population,Japan,2003,71.48
Hospitals,Per million population,Japan,2004,71.09
Hospitals,Per million population,Japan,2005,70.64
Hospitals,Per million population,Japan,2006,69.92
Hospitals,Per million population,Japan,2007,69.22
Hospitals,Per million population,Japan,2008,68.66
Hospitals,Per million population,Japan,2009,68.26
Hospitals,Per million population,Japan,2010,67.7
Hospitals,Per million population,Japan,2011,67.31
Hospitals,Per million population,Japan,2012,67.13
Hospitals,Per million population,Japan,2013,67.03
Hospitals,Per million population,Japan,2014,66.75
Hospitals,Per million population,Japan,2015,66.72
Hospitals,Per million population,Japan,2016,66.51
Hospitals,Per million population,Japan,2017,66.39
Hospitals,Per million population,Japan,2018,66.21
Hospitals,Per million population,Korea,2000,24.27
Hospitals,Per million population,Korea,2001,23.92
Hospitals,Per million population,Korea,2002,26.61
Hospitals,Per million population,Korea,2003,29.75
Hospitals,Per million population,Korea,2004,31.15
Hospitals,Per million population,Korea,2005,33.95
Hospitals,Per million population,Korea,2006,39.12
Hospitals,Per million population,Korea,2007,46.01
Hospitals,Per million population,Korea,2008,51.21
Hospitals,Per million population,Korea,2009,54.07
Hospitals,Per million population,Korea,2010,56.69
Hospitals,Per million population,Korea,2011,61.36
Hospitals,Per million population,Korea,2012,65.7
Hospitals,Per million population,Korea,2013,68.41
Hospitals,Per million population,Korea,2014,72.36
Hospitals,Per million population,Korea,2015,72.1
Hospitals,Per million population,Korea,2016,73.92
Hospitals,Per million population,Korea,2017,75.55
Hospitals,Per million population,Korea,2018,75.99
Hospitals,Per million population,Luxembourg,2005,30.1
Hospitals,Per million population,Luxembourg,2006,29.62
Hospitals,Per million population,Luxembourg,2007,27.08
Hospitals,Per million population,Luxembourg,2008,26.6
Hospitals,Per million population,Luxembourg,2009,26.12
Hospitals,Per million population,Luxembourg,2010,23.67
Hospitals,Per million population,Luxembourg,2011,25.08
Hospitals,Per million population,Luxembourg,2012,24.48
Hospitals,Per million population,Luxembourg,2013,23.93
Hospitals,Per million population,Luxembourg,2014,21.57
Hospitals,Per million population,Luxembourg,2015,21.07
Hospitals,Per million population,Luxembourg,2016,20.57
Hospitals,Per million population,Luxembourg,2017,16.77
Hospitals,Per million population,Luxembourg,2018,16.45
Hospitals,Per million population,Luxembourg,2019,16.13
Hospitals,Per million population,Mexico,2000,40.01
Hospitals,Per million population,Mexico,2001,39.74
Hospitals,Per million population,Mexico,2002,40.28
Hospitals,Per million population,Mexico,2003,40.33
Hospitals,Per million population,Mexico,2004,39.42
Hospitals,Per million population,Mexico,2005,40.15
Hospitals,Per million population,Mexico,2006,39.62
Hospitals,Per million population,Mexico,2007,39.95
Hospitals,Per million population,Mexico,2008,39.66
Hospitals,Per million population,Mexico,2009,39.31
Hospitals,Per million population,Mexico,2010,39.17
Hospitals,Per million population,Mexico,2011,38.4
Hospitals,Per million population,Mexico,2012,37.81
Hospitals,Per million population,Mexico,2013,37.45
Hospitals,Per million population,Mexico,2014,36.64
Hospitals,Per million population,Mexico,2015,36.72
Hospitals,Per million population,Mexico,2016,36.46
Hospitals,Per million population,Mexico,2017,36.58
Hospitals,Per million population,Mexico,2018,36.94
Hospitals,Per million population,Mexico,2019,37.19
Hospitals,Per million population,Netherlands,2000,13.06
Hospitals,Per million population,Netherlands,2001,12.78
Hospitals,Per million population,Netherlands,2002,12.45
Hospitals,Per million population,Netherlands,2003,12.26
Hospitals,Per million population,Netherlands,2004,12.16
Hospitals,Per million population,Netherlands,2005,12.13
Hospitals,Per million population,Netherlands,2006,11.81
Hospitals,Per million population,Netherlands,2007,11.6
Hospitals,Per million population,Netherlands,2008,11.07
Hospitals,Per million population,Netherlands,2009,25.17
Hospitals,Per million population,Netherlands,2010,25.7
Hospitals,Per million population,Netherlands,2011,26.9
Hospitals,Per million population,Netherlands,2012,29.78
Hospitals,Per million population,Netherlands,2013,30.29
Hospitals,Per million population,Netherlands,2014,29.94
Hospitals,Per million population,Netherlands,2015,30.52
Hospitals,Per million population,Netherlands,2016,31.36
Hospitals,Per million population,Netherlands,2017,31.87
Hospitals,Per million population,Netherlands,2018,31.86
Hospitals,Per million population,New Zealand,2009,37.42
Hospitals,Per million population,New Zealand,2010,37.92
Hospitals,Per million population,New Zealand,2011,37.41
Hospitals,Per million population,New Zealand,2012,36.52
Hospitals,Per million population,New Zealand,2013,36.02
Hospitals,Per million population,New Zealand,2014,35.96
Hospitals,Per million population,New Zealand,2015,35.98
Hospitals,Per million population,New Zealand,2016,33.99
Hospitals,Per million population,New Zealand,2017,34
Hospitals,Per million population,New Zealand,2018,34.09
Hospitals,Per million population,New Zealand,2019,32.5
Hospitals,Per million population,Poland,2000,20.99
Hospitals,Per million population,Poland,2001,21.67
Hospitals,Per million population,Poland,2002,21.76
Hospitals,Per million population,Poland,2003,21.46
Hospitals,Per million population,Poland,2004,23.1
Hospitals,Per million population,Poland,2005,22.9
Hospitals,Per million population,Poland,2006,21.89
Hospitals,Per million population,Poland,2007,24.03
Hospitals,Per million population,Poland,2008,23.5
Hospitals,Per million population,Poland,2009,24.01
Hospitals,Per million population,Poland,2010,25.05
Hospitals,Per million population,Poland,2011,25.43
Hospitals,Per million population,Poland,2012,27.27
Hospitals,Per million population,Poland,2013,28.52
Hospitals,Per million population,Poland,2014,28.83
Hospitals,Per million population,Poland,2015,28.09
Hospitals,Per million population,Poland,2016,28.02
Hospitals,Per million population,Poland,2017,33.55
Hospitals,Per million population,Poland,2018,33.6
Hospitals,Per million population,Portugal,2000,21.87
Hospitals,Per million population,Portugal,2001,21.52
Hospitals,Per million population,Portugal,2002,21.02
Hospitals,Per million population,Portugal,2003,20.94
Hospitals,Per million population,Portugal,2004,21.18
Hospitals,Per million population,Portugal,2005,21.14
Hospitals,Per million population,Portugal,2006,21
Hospitals,Per million population,Portugal,2007,21.44
Hospitals,Per million population,Portugal,2008,21.12
Hospitals,Per million population,Portugal,2009,21.1
Hospitals,Per million population,Portugal,2010,21.85
Hospitals,Per million population,Portugal,2011,21.41
Hospitals,Per million population,Portugal,2012,21.78
Hospitals,Per million population,Portugal,2013,21.61
Hospitals,Per million population,Portugal,2014,21.63
Hospitals,Per million population,Portugal,2015,21.72
Hospitals,Per million population,Portugal,2016,21.79
Hospitals,Per million population,Portugal,2017,21.84
Hospitals,Per million population,Portugal,2018,22.37
Hospitals,Per million population,Slovak Republic,2000,25.98
Hospitals,Per million population,Slovak Republic,2001,25.47
Hospitals,Per million population,Slovak Republic,2002,25.48
Hospitals,Per million population,Slovak Republic,2003,25.68
Hospitals,Per million population,Slovak Republic,2004,26.8
Hospitals,Per million population,Slovak Republic,2005,26.43
Hospitals,Per million population,Slovak Republic,2006,27.73
Hospitals,Per million population,Slovak Republic,2007,27.72
Hospitals,Per million population,Slovak Republic,2008,25.65
Hospitals,Per million population,Slovak Republic,2009,25.99
Hospitals,Per million population,Slovak Republic,2010,25.41
Hospitals,Per million population,Slovak Republic,2011,25.93
Hospitals,Per million population,Slovak Republic,2012,25.33
Hospitals,Per million population,Slovak Republic,2013,25.12
Hospitals,Per million population,Slovak Republic,2014,24.73
Hospitals,Per million population,Slovak Republic,2015,24.71
Hospitals,Per million population,Slovak Republic,2016,24.49
Hospitals,Per million population,Slovak Republic,2017,24.08
Hospitals,Per million population,Slovak Republic,2018,23.87
Hospitals,Per million population,Spain,2000,19.01
Hospitals,Per million population,Spain,2001,18.8
Hospitals,Per million population,Spain,2002,18.32
Hospitals,Per million population,Spain,2003,17.56
Hospitals,Per million population,Spain,2004,17.47
Hospitals,Per million population,Spain,2005,17.2
Hospitals,Per million population,Spain,2006,16.8
Hospitals,Per million population,Spain,2007,16.89
Hospitals,Per million population,Spain,2008,16.69
Hospitals,Per million population,Spain,2009,16.61
Hospitals,Per million population,Spain,2010,16.42
Hospitals,Per million population,Spain,2011,16.32
Hospitals,Per million population,Spain,2012,16.23
Hospitals,Per million population,Spain,2013,16.39
Hospitals,Per million population,Spain,2014,16.42
Hospitals,Per million population,Spain,2015,16.47
Hospitals,Per million population,Spain,2016,16.44
Hospitals,Per million population,Spain,2017,16.72
Hospitals,Per million population,Spain,2018,16.71
Hospitals,Per million population,Sweden,2000,10.03
Hospitals,Per million population,Sweden,2001,8.66
Hospitals,Per million population,Sweden,2002,8.96
Hospitals,Per million population,Sweden,2003,9.04
Hospitals,Per million population,Switzerland,2000,52.34
Hospitals,Per million population,Switzerland,2001,50.62
Hospitals,Per million population,Switzerland,2002,50.1
Hospitals,Per million population,Switzerland,2003,48.24
Hospitals,Per million population,Switzerland,2004,46.69
Hospitals,Per million population,Switzerland,2005,45.31
Hospitals,Per million population,Switzerland,2006,44.5
Hospitals,Per million population,Switzerland,2007,42.51
Hospitals,Per million population,Switzerland,2008,41.58
Hospitals,Per million population,Switzerland,2009,40.42
Hospitals,Per million population,Switzerland,2010,38.34
Hospitals,Per million population,Switzerland,2011,37.92
Hospitals,Per million population,Switzerland,2012,37.26
Hospitals,Per million population,Switzerland,2013,36.22
Hospitals,Per million population,Switzerland,2014,35.29
Hospitals,Per million population,Switzerland,2015,34.77
Hospitals,Per million population,Switzerland,2016,33.8
Hospitals,Per million population,Switzerland,2017,33.25
Hospitals,Per million population,Switzerland,2018,33
Hospitals,Per million population,Turkey,2000,17.98
Hospitals,Per million population,Turkey,2001,18.4
Hospitals,Per million population,Turkey,2002,17.51
Hospitals,Per million population,Turkey,2003,17.58
Hospitals,Per million population,Turkey,2004,18
Hospitals,Per million population,Turkey,2005,17.48
Hospitals,Per million population,Turkey,2006,17.36
Hospitals,Per million population,Turkey,2007,18.77
Hospitals,Per million population,Turkey,2008,19
Hospitals,Per million population,Turkey,2009,19.28
Hospitals,Per million population,Turkey,2010,19.69
Hospitals,Per million population,Turkey,2011,19.58
Hospitals,Per million population,Turkey,2012,19.73
Hospitals,Per million population,Turkey,2013,19.92
Hospitals,Per million population,Turkey,2014,19.8
Hospitals,Per million population,Turkey,2015,19.6
Hospitals,Per million population,Turkey,2016,19.05
Hospitals,Per million population,Turkey,2017,18.9
Hospitals,Per million population,Turkey,2018,18.84
Hospitals,Per million population,United Kingdom,2012,27.43
Hospitals,Per million population,United Kingdom,2013,25.65
Hospitals,Per million population,United Kingdom,2014,24.27
Hospitals,Per million population,United Kingdom,2015,28.9
Hospitals,Per million population,United Kingdom,2016,29.29
Hospitals,Per million population,United Kingdom,2017,29.06
Hospitals,Per million population,United Kingdom,2018,28.74
Hospitals,Per million population,United States,2000,20.59
Hospitals,Per million population,United States,2001,20.36
Hospitals,Per million population,United States,2002,20.14
Hospitals,Per million population,United States,2003,19.87
Hospitals,Per million population,United States,2004,19.67
Hospitals,Per million population,United States,2005,19.48
Hospitals,Per million population,United States,2006,19.26
Hospitals,Per million population,United States,2007,18.95
Hospitals,Per million population,United States,2008,19.12
Hospitals,Per million population,United States,2009,18.89
Hospitals,Per million population,United States,2010,18.6
Hospitals,Per million population,United States,2011,18.37
Hospitals,Per million population,United States,2012,18.24
Hospitals,Per million population,United States,2013,17.99
Hospitals,Per million population,United States,2014,17.68
Hospitals,Per million population,United States,2015,17.35
Hospitals,Per million population,United States,2016,17.14
Hospitals,Per million population,United States,2017,19.11
Hospitals,Per million population,Chile,2000,26.85
Hospitals,Per million population,Chile,2001,27.06
Hospitals,Per million population,Chile,2002,26.7
Hospitals,Per million population,Chile,2003,25.29
Hospitals,Per million population,Chile,2004,25.15
Hospitals,Per million population,Chile,2005,24.78
Hospitals,Per million population,Chile,2006,24.96
Hospitals,Per million population,Chile,2007,24.7
Hospitals,Per million population,Chile,2008,25.03
Hospitals,Per million population,Chile,2009,23.81
Hospitals,Per million population,Chile,2010,24.32
Hospitals,Per million population,Chile,2011,22.31
Hospitals,Per million population,Chile,2012,22.01
Hospitals,Per million population,Chile,2013,22.09
Hospitals,Per million population,Chile,2014,20.41
Hospitals,Per million population,Chile,2015,20.2
Hospitals,Per million population,Chile,2016,19.6
Hospitals,Per million population,Chile,2017,19.44
Hospitals,Per million population,Chile,2018,18.83
Hospitals,Per million population,Estonia,2000,48.68
Hospitals,Per million population,Estonia,2001,48.27
Hospitals,Per million population,Estonia,2002,36.97
Hospitals,Per million population,Estonia,2003,35.02
Hospitals,Per million population,Estonia,2004,36.7
Hospitals,Per million population,Estonia,2005,39.12
Hospitals,Per million population,Estonia,2006,40.09
Hospitals,Per million population,Estonia,2007,41.02
Hospitals,Per million population,Estonia,2008,43.38
Hospitals,Per million population,Estonia,2009,42.71
Hospitals,Per million population,Estonia,2010,42.81
Hospitals,Per million population,Estonia,2011,41.43
Hospitals,Per million population,Estonia,2012,42.34
Hospitals,Per million population,Estonia,2013,23.52
Hospitals,Per million population,Estonia,2014,22.82
Hospitals,Per million population,Estonia,2015,22.81
Hospitals,Per million population,Estonia,2016,22.8
Hospitals,Per million population,Estonia,2017,22.77
Hospitals,Per million population,Estonia,2018,22.69
Hospitals,Per million population,Israel,2000,13.83
Hospitals,Per million population,Israel,2001,13.98
Hospitals,Per million population,Israel,2002,13.7
Hospitals,Per million population,Israel,2003,13.3
Hospitals,Per million population,Israel,2004,13.22
Hospitals,Per million population,Israel,2005,12.55
Hospitals,Per million population,Israel,2006,11.63
Hospitals,Per million population,Israel,2007,11.84
Hospitals,Per million population,Israel,2008,11.63
Hospitals,Per million population,Israel,2009,11.36
Hospitals,Per million population,Israel,2010,11.28
Hospitals,Per million population,Israel,2011,11.2
Hospitals,Per million population,Israel,2012,10.87
Hospitals,Per million population,Israel,2013,10.67
Hospitals,Per million population,Israel,2014,10.35
Hospitals,Per million population,Israel,2015,10.02
Hospitals,Per million population,Israel,2016,9.83
Hospitals,Per million population,Israel,2017,9.76
Hospitals,Per million population,Israel,2018,9.57
Hospitals,Per million population,Slovenia,2000,13.58
Hospitals,Per million population,Slovenia,2001,13.55
Hospitals,Per million population,Slovenia,2002,13.54
Hospitals,Per million population,Slovenia,2003,13.53
Hospitals,Per million population,Slovenia,2004,14.52
Hospitals,Per million population,Slovenia,2005,14.5
Hospitals,Per million population,Slovenia,2006,14.45
Hospitals,Per million population,Slovenia,2007,14.37
Hospitals,Per million population,Slovenia,2008,14.35
Hospitals,Per million population,Slovenia,2009,14.22
Hospitals,Per million population,Slovenia,2010,14.16
Hospitals,Per million population,Slovenia,2011,14.13
Hospitals,Per million population,Slovenia,2012,14.1
Hospitals,Per million population,Slovenia,2013,14.08
Hospitals,Per million population,Slovenia,2014,14.06
Hospitals,Per million population,Slovenia,2015,14.05
Hospitals,Per million population,Slovenia,2016,14.04
Hospitals,Per million population,Slovenia,2017,14.03
Hospitals,Per million population,Slovenia,2018,13.98
Hospitals,Per million population,Slovenia,2019,13.94
Hospitals,Per million population,Latvia,2000,59.98
Hospitals,Per million population,Latvia,2001,59.9
Hospitals,Per million population,Latvia,2002,55.84
Hospitals,Per million population,Latvia,2003,57.26
Hospitals,Per million population,Latvia,2004,52.58
Hospitals,Per million population,Latvia,2005,48.69
Hospitals,Per million population,Latvia,2006,47.78
Hospitals,Per million population,Latvia,2007,42.72
Hospitals,Per million population,Latvia,2008,40.42
Hospitals,Per million population,Latvia,2009,32.22
Hospitals,Per million population,Latvia,2010,31.94
Hospitals,Per million population,Latvia,2011,33.99
Hospitals,Per million population,Latvia,2012,32.44
Hospitals,Per million population,Latvia,2013,32.3
Hospitals,Per million population,Latvia,2014,32.1
Hospitals,Per million population,Latvia,2015,33.88
Hospitals,Per million population,Latvia,2016,33.17
Hospitals,Per million population,Latvia,2017,32.44
Hospitals,Per million population,Latvia,2018,32.17
Hospitals,Per million population,Lithuania,2000,34.58
Hospitals,Per million population,Lithuania,2001,34.57
Hospitals,Per million population,Lithuania,2002,34.56
Hospitals,Per million population,Lithuania,2003,35.14
Hospitals,Per million population,Lithuania,2004,33.76
Hospitals,Per million population,Lithuania,2005,34.01
Hospitals,Per million population,Lithuania,2006,35.17
Hospitals,Per million population,Lithuania,2007,33.73
Hospitals,Per million population,Lithuania,2008,35.33
Hospitals,Per million population,Lithuania,2009,36.04
Hospitals,Per million population,Lithuania,2010,36.48
Hospitals,Per million population,Lithuania,2011,34.68
Hospitals,Per million population,Lithuania,2012,35.14
Hospitals,Per million population,Lithuania,2013,33.47
Hospitals,Per million population,Lithuania,2014,32.06
Hospitals,Per million population,Lithuania,2015,32.7
Hospitals,Per million population,Lithuania,2016,32.42
Hospitals,Per million population,Lithuania,2017,32.88
Hospitals,Per million population,Lithuania,2018,33.91
Hospitals,Per million population,Costa Rica,2000,7.49
Hospitals,Per million population,Costa Rica,2001,7.34
Hospitals,Per million population,Costa Rica,2002,7.21
Hospitals,Per million population,Costa Rica,2003,7.1
Hospitals,Per million population,Costa Rica,2004,6.98
Hospitals,Per million population,Costa Rica,2005,6.88
Hospitals,Per million population,Costa Rica,2006,6.78
Hospitals,Per million population,Costa Rica,2007,6.68
Hospitals,Per million population,Costa Rica,2008,6.58
Hospitals,Per million population,Costa Rica,2009,6.49
Hospitals,Per million population,Costa Rica,2010,6.4
Hospitals,Per million population,Costa Rica,2011,6.32
Hospitals,Per million population,Costa Rica,2012,6.23
