description,date_announced,country,type,compliance,
"On 3 April 2020, the Australian Government announced that working holiday makers who are employed in critical sectors including agriculture, health, aged and disability care and childcare will be exempt from the six month work limitation with one employer.

Working holiday makers employed in critical sectors who haven ""t completed the 3 or 6 months of specified work required to apply for a second or third Working Holiday Maker visa, and are unable to return to their home country can apply for ""COVID-19 pandemic Temporary Activity Visa (subclass 408) Australian Government Endorsed Agreement Event (AGEE) stream visa"" and will not incur a visa application charge",4/3/20,Australia,External Border Restrictions,Voluntary,
"On 4 April 2020, the Australian Government stated that it will allow Pacific Labour Scheme workers to extend their stay for up to 12 months to work for approved employers (ensuring pastoral care and accommodation needs of workers are met to minimise health risks to visa holders and the community). Employers will need to commit to providing safe accommodation for agricultural workers that complies with social distancing requirements.
",4/4/20,Australia,External Border Restrictions,Voluntary,
"On 4 April 2020, the Australian Government announced that they would be making a number of changes to temporary visa holder arrangements during the coronavirus crisis in order to protect the health and livelihoods of Australians, support critical industries, and assist with the rapid recovery post the virus.

One of these changes will allow Temporary Skills Shortage (TSS) visa holders who have been stood down, but not laid off, to maintain their visa validity and businesses will have the opportunity to extend their visa as per normal arrangements. Businesses will also be able to reduce the hours of the visa holder without the person being in breach of their visa condition.

These visa holders will also be able to access up to AU$10,000 of their superannuation this financial year.

TSS visa holders who have been laid off due to coronavirus should leave the country in line with existing visa conditions if they are unable to secure a new sponsor.",4/4/20,Australia,External Border Restrictions,Voluntary,
"Reported on 20 May, the Nauru  Government  is  thankful  for  the  special   travel   exemption   granted   earlier   this  month  by  the  Australian  Government  to  allow  Nauruans  requiring  urgent  critical  medical care to enter Australia for treatment. The  exemption  extends  to  other  Pacific Island countries also.",5/20/20,Australia,External Border Restrictions,Voluntary,
"In order to manage and maintain quarantine arrangements across the jurisdictions of New South Wales, Victoria, Queensland and Western Australia, on 10 July 2020, the National Cabinet agreed to implement further caps on international arrivals, and an extension of current international passenger flight restrictions into Victoria.

From Monday 13 July, the following will apply:

Perth - a cap of 525 international arrivals per week will apply.
Brisbane - an overall cap of 500 international arrivals per week will apply.
Sydney - a cap of 450 international arrivals per day will continue, as announced on 4 July with a view to further reductions in subsequent weeks.
Flexibility remains within these caps to as much as possible minimise disruptions to returning Australian citizens and permanent residents.

These arrangements will be subject to a review by the National Cabinet before the end of July.

Restrictions on outbound travel by Australian citizens and permanent residents remain in place, in accordance with the health advice to the Government.",7/10/20,Australia,External Border Restrictions,Mandatory,
"On 10 July, the Australian National Cabinet agreed to implement further caps on international arrivals, and an extension of current international passenger flight restrictions into Victoria.
   
From Monday 13 July, the following will apply:
Perth - a cap of 525 international arrivals per week will apply.
Brisbane - an overall cap of 500 international arrivals per week will apply.
Sydney - a cap of 450 international arrivals per day will continue, as announced on 4 July with a view to further reductions in subsequent weeks.
Flexibility remains within these caps to as much as possible minimise disruptions to returning Australian citizens and permanent residents.
   
Restrictions on outbound travel by Australian citizens and permanent residents remain in place, in accordance with the health advice to the Government.
   
On 7 August 2020, the National Cabinet agreed that existing caps on international passenger arrivals would continue and that until 24 October, the following will apply subject to further advice on quarantine capacity:
   
Melbourne  "" no international passenger arrivals;
Sydney  "" limit of 350 passenger arrivals per day;
Perth  "" limit of 525 passenger arrivals per week;
Brisbane  "" limit of 500 passenger arrivals per week;
Adelaide  "" limit of 500 passenger arrivals per week;
Canberra, Darwin  "" passenger limits on each flight to be discussed with jurisdictions on a case-by-case basis;
Hobart  "" no international flights.",8/7/20,Australia,External Border Restrictions,Mandatory,
"On 21 January 2020, the Australian Government Department of Health implements additional border measures, particularly in relation to the three weekly direct flights from Wuhan to Sydney. All passengers on these direct flights will receive information about the virus on arrival requesting that they identify themselves to biosecurity officers at the airport if they are unwell. If they have symptoms of an infectious disease they will be assessed by NSW Health.",1/21/20,Australia,Health Monitoring,Voluntary,
"On the 26 April 2020, the Australian Government launched the voluntary coronavirus app, COVIDSafe. The app will speed up the process of identifying people who have been in close contact with someone diagnosed with coronavirus, quickly stopping further spread of the virus in the community.

The information is encrypted and that encrypted identifier is stored securely on individual phones.The contact information stored in people ""s mobiles is deleted on a 21-day rolling cycle. This period takes into account the COVID-19 incubation period and the time it takes to get tested.",4/26/20,Australia,Health Monitoring,Voluntary,
"On 11 March 2020, the Australian Government announced that it will allocate AU$30 million from the Medical Research Future Fund for vaccine, anti-viral and respiratory medicine research. This will enable Australian researchers to be at the forefront of the drive to develop both treatments and a vaccine.",3/11/20,Australia,Health Resources,NA,
"On 11 March 2020, the Australian Government announced a AU$ 2.4 billion health package, of which AU$1.1 billion will ensure patients and critical health care staff have face masks, and other protective equipment such as surgical gowns, goggles and hand sanitiser for health professionals. This funding will also be used to purchase antibiotics and antivirals for the National Medical Stockpile, so that patients who experience secondary infection as a result of COVID-19 can be treated quickly, and health effects minimised.",3/11/20,Australia,Health Resources,NA,
"On 11 March 2020, the Australian Government announced a AU$ 2.4 billion health package, of which AU$101.2 million will be used to educate and train aged care workers in infection control, and enable aged care providers to hire extra nurses and aged care workers for both residential and home care. Additional aged care staff will be available for deployment to facilities as needed, where an urgent health response is required and to provide extra support for staff and training.",3/11/20,Australia,Health Resources,NA,
"On 11 March 2020 as a part of a AU$ 2.4 billion health package, the Australian Government set aside AU$100 million for a telehealth service which will be available from 13 March 2020, AU$25 million for home medicine services and AU$5 million for electronic prescribing.",3/11/20,Australia,Health Resources,NA,
"The Australian Government National Cabinet acting on the advice of the Australian Health Protection Principal Committee announced that from 11.59pm (local time) on 25 March 2020, all non urgent elective surgery will be temporarily suspended.",3/25/20,Australia,Health Resources,Mandatory,
"On 29 March 2020, the Australian Government committed AU$74 million  to support the mental health and wellbeing of all Australians. Of which, AU$10 million will be provided to create a dedicated coronavirus wellbeing support line. AU$14 million will bolster the capacity of mental health support providers who have experienced an unprecedented surge in call volumes with funding increasing their capacity, including $5 million for Lifeline and $2 million for Kids Helpline.",3/29/20,Australia,Health Resources,NA,
"On 5 May 2020, the Australian National Cabinet following the release of the Communicable Diseases Network Australia (CDNA) ""National Guidelines for the Prevention, Control and Public Health Management of COVID-19 Outbreaks in Correctional and Detention Facilities in Australia,"" agreed that supply of Personal Protection Equipment (PPE) to corrections facilities should be considered a priority in the context of the national supply of PPE, as additional supplies become available and if COVID-19 cases are confirmed in the sector.",5/5/20,Australia,Health Resources,Voluntary,
"On 5 May 2020, the Australian Government pledged $352 million Australian dollars towards this global effort to fight COVID-19. 

$15 million Australian dollars will be equally shared between the Coalition for Epidemic Preparedness Innovations (CEPI) and the Foundation for Innovative New Diagnostics (FIND) for COVID-19 vaccines and diagnostics. 

And $337 million Australian dollars will go toward COVID-19 research and development work on vaccines, diagnostics, therapeutics and respiratory medicine in Australia. 

This pledge was made at the Coronavirus Global Response International Pledging Event organised by the European Commission.",5/5/20,Australia,Health Resources,Voluntary,
"On 17 August 2020, the Australian Government announced that it will provide an additional AU$31.9 million to create 15 mental health clinics across Victoria and further enhance essential support during the COVID-19 pandemic. AU$26.9 million of the new funding will establish 15 dedicated mental health clinics across Victoria, with nine clinics in Greater Melbourne and six in regional Victoria.

In addition to the clinics, AU$5 million in funding will be provided to enhance digital and phone services for specific groups that are experiencing significant challenges during the additional restrictions. This includes those living with an eating disorder where physical isolation at home can greatly exacerbate their mental illness. The funding will ensure services such as the Eating Disorders National Support line, 1800 ED HOPE, have the capacity to provide the specialist support needed. An additional AU$2 million will help evaluate the impact of this investment and target any emerging mental health needs.",8/17/20,Australia,Health Resources,Mandatory,
"On 18 August 2020, the Australian Government published ""Australia ""s COVID-19 Vaccine and Treatment Strategy"", which outlines how Australia is investing in promising vaccines and treatments and how they will be safely, fairly and rapidly delivered to Australians.

To implementation of the strategy follows 5 steps:

1. Research and development 
2. Purchase and manufacturing
3. International partnerships
4. Regulation and safety
5. Immunisation administration and monitoring
",8/18/20,Australia,Health Resources,Mandatory,
"On 19 August 2020, the Australian Government and UK-based drug company AstraZeneca signed a Letter of Intent which would allow all Australians to access a COVID-19 vaccine for free if the AstraZeneca/ Oxford University vaccine trials prove to be successful, safe and effective. 

The Letter of Intent covers vaccine development, production and distribution. It commits to production of the vaccine in Australia, subject to safety and effectiveness.

A final formal agreement will include distribution, timing and price of the vaccine.",8/19/20,Australia,Health Resources,Mandatory,
"On 21 August 2020, the Australian Government Department of Health established the Coronavirus (COVID-19) National Aged Care Emergency Response which mobilises experienced aged care staff to care for people in aged care facilities affected by COVID-19. These workers come from areas without community transmission. Initially supporting Victoria, the program can expand to other areas, as needed.Required staff include: registered nurses, enrolled nurses, personal care workers and cleaners. Experienced workers will be deployed to aged care facilities for a 4-week period, followed by 2 weeks of quarantine. Workers will be provided uniforms and PPE, regular COVID-19 tests during the placement and access to pastoral and mental health support on the ground, as well as a dedicated coordinator.",8/21/20,Australia,Health Resources,Voluntary,
"On 7 September 2020, the Australian Government following the University of Oxford/AstraZeneca vaccine agreement, signed a second agreement with the University of Queensland/CSL. If the University of Queensland/CSL vaccine is successful, they will provide 51 million doses of the vaccine. 

The Australian Government has provided $5 million to support the development of molecular clamp technology for this vaccine. It is also funded by the Queensland Government, the international Coalition for
Epidemic Preparedness Innovation (CEPI), CSL and philanthropic organisations.The vaccine doses purchased by the Australian Government will be manufactured in Australia at CSL ""s biologics facility in Broadmeadows Victoria. The vaccine is one of nine vaccines supported by CEPI, a global partnership to accelerate vaccine development.",9/7/20,Australia,Health Resources,Mandatory,
"On 11 March 2020, the Australian Government announced a AU$ 2.4 billion health package, included in this package is AU$58.7 million to support people living and working in remote locations, in particular Aboriginal and Torres Strait Islander communities. This includes tools to proactively screen visitors and fly-in, fly-out workers, additional support to evacuate early cases if required, and mobile respiratory clinics to quickly respond to outbreaks where there is no hospital or available health service.",3/11/20,Australia,Health Testing,NA,
"On 11 March 2020 the Australian Government announced a AU$ 2.4 billion health package, as a part of this,  AU$206.7 million is being invested for 100 dedicated respiratory clinics. ""The clinics will be a one-stop-shop for people who are concerned they may have the virus, to be tested and isolated from other patients. """,3/11/20,Australia,Health Testing,NA,
"On 26 March 2020, the Australian National Cabinet announced that they would expand the current coronavirus testing criteria to include testing people with fever or acute respiratory infection in: all health workers; all aged/residential care workers; geographically localised areas where there is elevated risk of community transmission as defined by the local public health unit; where no community transmission is occurring, high risk settings where there are two or more plausibly-linked cases, for example:
aged and residential car; rural and remote Aboriginal and Torres Strait Islander communities; detention centres/correctional facilities
boarding schools; military bases (including Navy ships) that have live-in accommodation. National Cabinet also agreed that testing will be expanded to include hospitalised patients with fever and acute respiratory symptoms of unknown cause, at the discretion of the treating clinician.

This is the minimum testing criteria. States and territories have the discretion to expand their own criteria for testing if they have capacity.",3/26/20,Australia,Health Testing,Mandatory,
"On 2 May 2020, the Australian Health Protection Principal Committee developed a document ""Coronavirus (COVID-19) National principles for the resumption of sport and recreation activities"" that contains 15 national principles on how sports and recreation activities will be resumed in Australia following the COVID-19 shutdown. This document was published alongside the Australian Institute of Sport (AIS)  ""Framework for Rebooting Sport in a COVID-19 environment "" that outlines how sports activities will be reintroduced at all levels. 

Community and Individual sporting activities have been categorised into three categories. Level A activities are those that can be conducted by a solo athlete or by pairs where at least 1.5m can always be maintained between participants. Level B activities are both indoor/outdoor activities that can be conducted in small groups (not more than 10 athletes and/or other personnel in total) and with adequate spacing (not more than
1 person per 4m2). Level C activities are those that can be conducted in groups of any size including full contact (competition, tournaments,
matches). Wrestling, holding, tackling and/or binding (e.g. rugby scrums) permitted. The document outlines general hygiene measures for each level and the number of spectators/ additional personnel permitted.",5/2/20,Australia,Hygiene,Voluntary,
"On 29 May 2020, the Australian National Cabinet agreed to the Principles for COVID 19 Public Transport Operations. These principles provide guidance about how public transport can minimize risks from COVID 19 and continue to run as safely as possible for passengers and public transport workers. State and territory governments remain responsible for the operation of public transport services and jurisdictions will continue to provide guidance for their workforces and passengers.

Passengers are recommended to maintain good hand washing cough/ sneeze hygiene. Those who are feeling unwell must not use public transport, except in an emergency.

Public transport operators inside passenger terminals and platforms must ensure the cleaning and sanitising of high touch areas and bathrooms, in accordance with advice provided by the relevant jurisdiction, the Department of Health and Safe Work Australia and provide appropriate signage to point to available hygiene facilities (e.g. bathrooms, hand sanitiser dispensers). Additional hand sanitising stations must be made available for workers, and passengers where possible, to encourage use. Soap or hand wash must also be readily available in bathrooms (and showers, if relevant). Operators must also ensure that all workers are advised of workplace hygiene standards and are maintaining good hand washing and cough/sneeze hygiene, and regularly monitor and review the implementation of hygiene measures to ensure they are being followed.",5/29/20,Australia,Hygiene,Voluntary,
"On 9 July 2020, the Australian Government Department of Infrastructure, Transport, Regional Development and Communications, in partnership with industry and the state and territory governments, developed Principles for COVID-19 Private Bus Industry Operations. These Principles provide guidance about how operators can run services as safely as possible for passengers and workers. In regarding to cleaning, the Principles ask Private Bus Operators to ensure cleaning and sanitising of all surfaces, doors, bathrooms and high traffic or touch areas, in accordance with advice provided by the relevant jurisdiction, the Department of Health and Safe Work Australia. Industry specific requirements include: (1) passenger seating on vehicles should be cleaned between each service and (2) on-board bathrooms are to be sanitised between each service.",7/9/20,Australia,Hygiene,Voluntary,
"On 9 July 2020, the Australian Government Department of Infrastructure, Transport, Regional Development and Communications, in partnership with industry and the state and territory governments, developed Principles for COVID-19 Private Bus Industry Operations. These Principles provide guidance about how operators can run services as safely as possible for passengers and workers. 

The health and hygiene measures recommended by these Principles are as follows: 
Put in place procedures to closely monitor the health of all employees and provide training and regular communication on symptoms and actions if unwell, with at least daily reporting and checking in by supervisors.
Ensure workers do not attend work if feeling unwell, and seek medical assistance if experiencing respiratory symptoms or a fever.
Ensure all workers are advised of workplace hygiene standards and are maintaining good hand washing and cough/sneeze hygiene.
Provide additional hand sanitising stations for workers, and passengers where possible, to encourage use.
Provide appropriate signage to point to available hygiene facilities (e.g. bathrooms, hand sanitiser dispensers).
Ensure soap or hand wash is readily available in bathrooms (and showers, if relevant).
Regularly monitor and review the implementation of hygiene measures to ensure they are being followed and remain effective.",7/9/20,Australia,Hygiene,Voluntary,
"On 18 March 2020, the Australian Government announced that Australians should only consider domestic travel when it is essential.",3/18/20,Australia,Internal Border Restrictions,Voluntary,
"On 9 April 2020, the Australian Prime Minister Scott Morrison shared an Easter Message in which he urged Australians to stay at home this Easter. ""Don't travel. Don't go away."" 

What Australians can do and cannot do during Easter will depend on the restrictions created by individual states and territories.",4/9/20,Australia,Lockdown,Mandatory,
"On 25 March 2020, the Australian Prime Minister announced the creation of a new National COVID-19 Coordination Commission (NCCC) that will coordinate advice to the Australian Government on actions to anticipate and mitigate the economic and social effects of the global coronavirus pandemic.",3/25/20,Australia,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"On 27 March 2020, the Prime Minister of Australia announced that the Australian Defence Force will begin ""assisting state and territory governments to undertake quarantine compliance checks of those who are required to be in mandatory isolation after returning from overseas. ADF personnel will bolster local police efforts in visiting the homes and residences of Australians who are in mandatory isolation as directed by state and territory governments and will report to the local police whether the identified individual was at the residence.""

ADF assistance will be provided under the Defence Assistance to the Civil Community arrangements.

",3/27/20,Australia,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"On 8 May 2020, the Australian National Cabinet met to finalise a three-step plan to gradually remove baseline restrictions and make Australia COVID-safe. The three-step plan provides a pathway for jurisdictions to move towards COVID safe communities in a way that best suits their individual circumstances. States and territories are able to move between the steps on the pathway at different times, in line with their current public health situation and local conditions.

Step 1 will focus on carefully reopening the economy, and giving Australians opportunities to return to work and social activities, including gatherings of up to 10 people, up to 5 visitors in the family home and some local and regional travel.

Step 2 builds on this with gatherings of up to 20, and more businesses reopening, including gyms, beauty services and entertainment venues like galleries and cinemas.

Step 3 will see a transition to COVID safe ways of living and working, with gatherings of up to 100 people permitted. Arrangements under step 3 will be the  ""new normal "" while the virus remains a threat. International travel and mass gatherings over 100 people will remain restricted.",5/8/20,Australia,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"On 12 June 2020, the Australian National Cabinet updated the three-step plan to gradually remove baseline restrictions and make Australia COVID-safe (originally finalised on 8 May 2020). The three-step plan provides a pathway for jurisdictions to move towards COVID safe communities in a way that best suits their individual circumstances. States and territories are able to move between the steps on the pathway at different times, in line with their current public health situation and local conditions.
   
Step 1 will focus on carefully reopening the economy, and giving Australians opportunities to return to work and social activities, including gatherings of up to 10 people, up to 5 visitors in the family home and some local and regional travel.
   
Step 2 builds on this with gatherings of up to 20, and more businesses reopening, including gyms, beauty services and entertainment venues like galleries and cinemas.
   
Step 3 will see a transition to COVID safe ways of living and working. Arrangements under step 3 will be the  ""new normal "" while the virus remains a threat. International travel will remain restricted. There is no limit on the number of people who are permitted to gather indoors, however there must be 4sqm per person, with hygiene and social distancing measures. For outdoor venues up to 40,000 spectator capacity, ticketed and seated events will be able to be held in front of a crowd of no more than 25 per cent of capacity under Step 3.",6/12/20,Australia,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"On 14 July 2020, the Australian Commonwealth Government deployed a further 1000 Australian Defence Force (ADF) personnel to the state of Victoria to support the coronavirus response.The additional ADF support will be deployed across the following areas, based on need:

- State Control Centre planning, logistics and intelligence reporting
- Public health response focusing on contact tracing data management and analysis, information flow as well as the allocation and tracking of tasks and the onboarding staff to undertake interviews
- Support for supply and logistics to ensure physical care packages such as food and toys and other essential supplies are provided to public housing residents
- Support focusing on testing in metro, regional/rural and tourist locations
- Assisting relevant agencies with community engagement focusing on community awareness and outreach, particularly in high risk areas as well as critical infrastructure and regional workplaces
- Partnering with Ambulance Victoria paramedic response crews to expand Ambulance Victoria ""s response capabilities by providing personnel to act as a second crew member that can support paramedics at scenes and drive back to hospital
- Compliance checking to support Victoria Police ""s enforcement of the Chief Health Officer ""s stay at home orders
- Surge capacity as required in relation to vehicle check points",7/13/20,Australia,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"On 27 July 2020, the Prime Minister of Australia announced that the National COVID-19 Coordination Commission is ""moving into a new mode, shifting its focus to concentrate on creating jobs and stimulating our economy as we learn to live with this pandemic"". The group will from now onwards be called the National COVID-19 Commission (NCC) Advisory Board, to better reflect its role.",7/27/20,Australia,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"On 25 July 2020, the Australian Minister for Health Greg Hunt announced that AUSMAT (Australian Medical Assistance Teams) will be sent to Victoria to work alongside defence force and hospital nurses in aged care homes and support the COVID-19 response. AUSMAT personnel are normally sent to overseas disaster zones. Five AUSMAT senior expert nurse leaders are being deployed to Victoria from other states, and two Victorian-based specialist logisticians will be deployed in support of the nurse deployment and Aged Care Response Centre.

AUSMAT will start working in Victoria on 29 July 2020.",7/25/20,Australia,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"On 20 August 2020, the COVID-19 Vaccines and Treatments for Australia  "" Science and Industry Technical Advisory Group was established. The Advisory Group will provide advice on the selection, production and procurement of COVID-19 therapeutics and vaccines.

It will also consider the viability of options for manufacturing and packaging of COVID-19 vaccines in Australia. The Advisory Group will be supported by the COVID-19 Vaccine Strategy Taskforce, led out of the Department of Health.",8/20/20,Australia,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"On 24 August 2020, the Aged Care Advisory Group was established under the auspices of the Australian Health Protection Principal Committee (AHPPC) to support the Commonwealth, State and Territory agencies and aged care service providers in preparation and planning for prevention, management and recovery of COVID-19 outbreaks in aged care settings.The Aged Care Advisory Group is a time-limited advisory group that will bring together expertise about the aged care sector, infection control, emergency preparedness and public health response.",8/24/20,Australia,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"23 January 2020, Australian Health Minister Greg Hunt on behalf of the Australian Government says that the ""advisory has now been upgraded and advises Australian travellers to reconsider their need to travel to Wuhan"".",1/23/20,Australia,Other Policy Not Listed Above,Voluntary,
"29 January 2020, the Australian Government announces plans to assist the departure of ""isolated and vulnerable Australians"" from Wuhan and Hubei Province and to fly those evacuated to Christmas Island to ""undertake a quarantine of up to 14 days"".",1/29/20,Australia,Other Policy Not Listed Above,NA,
"On 18 February 2020, the Australian Government Department of Health published The Australian Health Sector Emergency Response Plan for Novel Coronavirus (the COVID-19 Plan) which guides the Australian Health Sector Response.",2/18/20,Australia,Other Policy Not Listed Above,Mandatory,
"As of 5 March 2020, the Australian Department of Foreign Affairs and Trade will raise the level of the travel advisory for the Republic of Korea to  ""reconsider your need to travel "" (level 3 of 4) up from  ""exercise a high degree of caution "" (level 2). The level of the travel advice will also be raised to  ""do not travel "" to Daegu (level 4 of 4) because of the significant outbreak of COVID-19 there.",3/5/20,Australia,Other Policy Not Listed Above,Voluntary,
"On 13 March 2020, the Australian Government announced that it had updated its ""Smartraveller"" travel advice website for all Australians travelling overseas to level 3 -  ""reconsider your need for overseas travel at this time. """,3/13/20,Australia,Other Policy Not Listed Above,Voluntary,
"""On 16 April 2020, the Australian National Cabinet agreed to a set of National Principles for School Education to support the ongoing delivery of high quality education for all students during COVID-19, enable students to progress through their year level, and support a successful transition to 2021."" The National Principles contains seven pieces of advice.",4/16/20,Australia,Other Policy Not Listed Above,Voluntary,
"On the 23 April 2020, the Australian Government in conjunction with the Council on the Ageing Australia, National Seniors Australia, the Older Persons Advocacy Network and Dementia Australia established a dedicated free call support line aimed at supporting the mental health of senior Australians, their families and carers impacted by the spread of COVID-19. 

The support line (1800 171 866) will operate Monday to Friday, except public holidays, from 8.30am to 6pm.
",4/22/20,Australia,Other Policy Not Listed Above,Voluntary,
"On 1 May 2020, the Australian Government announced an additional COVID-19 specific support package totalling AUD $205 million for residential aged care providers. The payment  "" to all Commonwealth funded residential aged care providers  "" will be linked to the number of residents being cared for by each facility, and is aimed at covering the additional costs of caring for the health and wellbeing of residents during the pandemic. The costs include additional staffing, training, supporting visitations and connections and the provision of personal protective equipment.",5/1/20,Australia,Other Policy Not Listed Above,Mandatory,
"On 16 May 2020, the Australian Government Department of Health National Mental Health Commission published the National Mental Health and Wellbeing Pandemic Response Plan. 

The three core objectives of the plan are to: (1) meet the mental health and wellbeing needs of all Australians to reduce negative impacts of the pandemic in the short and long-term; (2) outline core principles and priority areas to inform jurisdictions as they respond to the challenges of COVID-19, including as restrictions ease, to balance national consistency with flexibility for locally-appropriate community-based responses and solutions and ensuring that any risks posed by relaxation of restrictions are assessed and responded to; and (3) define governance, coordination and implementation requirements including data collection and sharing across jurisdictions to facilitate informed planning and decision making.  

The National Cabinet also endorsed the Response Plan with AUD 48.1 million.",5/16/20,Australia,Other Policy Not Listed Above,Voluntary,
"On 12 August 2020, the Communicable Diseases Network Australia (CDNA) published guidelines to help correctional and detention facilities deal with outbreaks of coronavirus (COVID-19).They capture the knowledge of experienced professionals, build on past research efforts, and provide advice on best practice based on the best available evidence at the time of completion.They cover: understanding COVID-19, preparedness and prevention, identifying COVID-19, and COVID-19 case and outbreak management.

",8/12/20,Australia,Other Policy Not Listed Above,Voluntary,
"On 21 August 2020, the Australian National Cabinet agreed to scale up aged care support programs in Victoria and across Australia with an additional AU$171.5 million to boost a new COVID-19 response plan agreed by all states and territories. Prime Minister Scott Morrison said more funding would be used to continue current programs for infection control training and surge workforce staff, alongside greater compliance by the Aged Care Commissioner and coordinated response centres.

The package includes:

More support for the Aged Care workforce:
$81 million for additional surge workforce and increased training for aged care workers.
$8.4 million for supplementary payments to include quarantine costs and interstate staff
$50 million to account for additional demand for retention bonus measures, (noting eligibility has not changed)
$9.1 million for the Victorian Aged Care Response Centre, established with the Victorian Government, to boost their additional workforce while undergoing more training, providing a workforce that could quickly respond to outbreaks in other states;
$12. 5 million to support residents and their families with increased availability of grief and trauma support services to assist aged care residents and their families who have experienced a COVID-19 outbreak
Supporting more compliance and quality checks on aged care providers by the Aged Care Quality and Safety Commission, checking on preparations and responses to COVID-19 outbreaks.
",8/21/20,Australia,Other Policy Not Listed Above,Mandatory,
"On 21 January 2020 the Australian Government Department of Health announced that information relating to the novel coronavirus (2019-nCoV) will be displayed at all major international ports around Australia, with instructions on what to do if travellers have symptoms or if symptoms develop.
",1/21/20,Australia,Public Awareness Measures,Voluntary,
"On 25 January 2020, Australia confirmed its first case of novel coronavirus (2019-nCoV). The patient arrived in the state of Victoria onboard a flight from Guandong on 19 January.",1/25/20,Australia,Public Awareness Measures,Voluntary,
"Since 2 March 2020, the Australian Government Department of Health has been producing a collection of resources for the general public and industry about COVID-19.",3/2/20,Australia,Public Awareness Measures,Voluntary,
